,Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
4331,Silliman Beach,Silliman,P,28.0141,-82.2813,3.0,58.120792447245734
4332,C. hippurus,P’yŏngam-dong,P,38.1425,126.61972,9.0,41.10126720017443
4333,Paracel (Xisha) Islands,Parabel',P,58.69778,81.4825,3.0,22.015490464944296
4334,Central Tyrrhenian coast,Central,L,55.75383,37.6224,3.0,29.251884154669053
4335,Kodiak Island,exact,T,57.39611,-153.48333,9.0,11.595015571653608
4336,Dahan River,exact,H,25.04009,121.47973,9.0,51.180260397207036
4337,GOMMBR,exact,P,13.33454,-2.0105,3.0,56.04992579903346
4338,Delaware Bay,exact,H,39.05011,-75.14963,3.0,58.413210884631816
4339,Nature Reserves,exact,L,17.71462,-88.42376,3.0,25.195509285020595
4340,Porbandar,exact,A,21.65332,69.77807,15.0,33.4275242613941
4341,Ionian Seas,exact,H,39.0,19.0,22.0,70.31861610515966
4342,Panama,exact,A,9.0,-80.0,5.0,78.11700792544076
4343,Copacabana beach,exact,T,-33.491,151.4326,13.0,6.329528522379096
4344,Main Hawaiian Islands,Main,P,6.64296,-10.51917,5.0,16.0368518454644
4345,Playa Larga,exact,P,22.28192,-81.19764,3.0,39.42557211917507
4346,Minsk,exact,P,53.9,27.56667,24.0,44.69397067242792
4347,Hooghly,exact,A,22.82893,88.20099,15.0,47.73957580878424
4348,Brazil,exact,A,-10.0,-55.0,5.0,78.00165893314926
4349,NE Ionian Sea,Ne,P,44.35559,9.38787,22.0,18.361094103086913
4350,Southern Korea,exact,H,-31.96673,138.66607,19.0,54.22236083758987
4351,South West Indian Ocean,South,L,33.45876,-90.15081,3.0,32.7089856377989
4352,East China Sea,exact,H,29.0,125.0,9.0,73.78432240784859
4353,Vembanad estuary,Vembanad Kayal,H,9.5917,76.39471,17.0,15.403602644976198
4354,Ducie Atoll,exact,T,-24.67406,-124.77733,12.0,34.07246320838613
4355,Jiulong River Estuary,Jiulong,P,41.207,121.62662,9.0,34.2514422709502
4356,Nabadwip,exact,P,23.4067,88.36861,15.0,16.948968175832338
4357,C. nodosa,P’yŏngam-dong,P,38.1425,126.61972,9.0,41.10126720017443
4358,Las Canteras,exact,L,18.2,-71.11667,3.0,52.43612579096805
4359,Shiraz Metropolis,Shiraz,P,29.61031,52.53113,25.0,12.630094117751787
4360,Batu Topeng Beach,exact,T,-8.66015,115.13011,11.0,44.39744947484909
4361,Dubai,exact,P,25.07725,55.30927,25.0,50.768365766165914
4362,Porcupine Bank,exact,U,53.33333,-13.5,2.0,18.532858423848918
4363,Libong,exact,P,16.9768,120.518,9.0,53.052375923070244
4364,Paraíba River,exact,H,-2.76257,-41.83007,5.0,46.868286216230146
4365,OSL,exact,P,59.91273,10.74609,3.0,47.924243229935406
4366,Cox’s Bazar,exact,P,21.43973,92.00955,15.0,51.19188581347609
4367,Neuse River,exact,H,35.13127,-76.50382,3.0,41.002370244246244
4368,Bekasi,exact,P,-6.2349,106.9896,11.0,61.614167185354724
4369,Carmel,exact,A,18.17326,-77.93929,2.0,58.90547243655217
4370,Tohoku,exact,L,39.0,141.0,9.0,70.31861610515948
4371,Kamilo Point,exact,T,18.97509,-155.59566,8.0,53.77938874619763
4372,Atlantic Pacific Ocean,Atlantic,P,43.5827,-65.34141,3.0,15.746823059337036
4373,Hatir Jheel,Hatip,P,37.75447,32.4222,22.0,29.11347508484652
4374,Bayhead,exact,P,45.7383,-63.3628,3.0,28.565488509254973
4375,Guamá River,exact,H,-1.48565,-48.49806,5.0,1.6101530110949986
4376,Northeast,exact,L,42.80019,-74.11805,3.0,45.716229797966704
4377,Fernando de Noronha,exact,A,-3.85071,-32.41997,4.0,39.995559430846434
4378,Ceuta,exact,P,35.88919,-5.32042,3.0,46.21471293019039
4379,Ras Rakan Island,Ras,P,15.88333,-84.68333,3.0,46.92545901364088
4380,Benoa Bay,exact,S,-8.73333,115.2,11.0,41.96375326169479
4381,Geoje,exact,A,34.9,128.66666,9.0,47.01506200130774
4382,Lake Ladoga,exact,H,61.0,31.5,24.0,55.597463322278735
4383,Arctic Ocean,exact,H,85.0,0.0,21.0,57.28267750044117
4384,Luga,exact,P,58.73722,29.84528,24.0,33.09806767404181
4385,Juan Fernández Archipelago,Juan,L,21.05,-76.01667,3.0,70.79461236429914
4386,Gulf Saint Lawrence,exact,H,47.0,-62.0,3.0,67.1960538712817
4387,Al-Asfar,exact,P,14.87588,43.52009,26.0,41.85177228610645
4388,Monument,exact,P,39.09166,-104.87276,9.0,55.592742379731234
4389,Hatsushima,exact,P,35.04162,139.16995,9.0,59.12409830572497
4390,Dawu River,exact,H,4.1774,42.0796,17.0,58.81727467625031
4391,Gorgan Bay,exact,H,-11.6833,130.1333,19.0,44.84320102698955
4392,Netanya,exact,P,32.33291,34.85992,22.0,38.55668792320432
4393,Napuka,exact,A,-14.17774,-141.24435,12.0,45.194910966356915
4394,Santos City,exact,P,33.29865,-115.95611,9.0,47.89633925726772
4395,Southeast Bering Sea,Southeast,L,10.75053,106.7505,9.0,39.05808720184786
4396,MPAs,exact,P,14.18333,-13.96667,3.0,61.378963685661795
4397,Siling Co,exact,H,31.77757,89.03475,15.0,53.78204317405404
4398,Seyhan,exact,A,36.9554,35.21637,22.0,56.59650794759039
4399,Pacific Ocean Garbage Patch,Pacific,L,54.76638,-128.25349,9.0,33.60152331185633
4400,Indo-Pacific,exact,H,15.0213,140.14914,3.0,55.581372106064634
4401,European,exact,S,48.92699,31.47799,23.0,47.50657531675962
4402,Myanmar,exact,A,21.0,96.0,15.0,76.00053114472006
4403,Mobile Bay,exact,H,47.24989,-52.83135,3.0,37.36302025800567
4404,Greater Sydney,Greåker,P,59.26598,11.03497,3.0,37.02253263185989
4405,Hong Kong,exact,P,22.27832,114.17469,9.0,41.54807741848942
4406,Gorges,exact,P,47.10112,-1.30267,3.0,46.782900322665384
4407,MPA,exact,P,-17.50467,24.27574,19.0,23.787795101889827
4408,Wonorejo River,Wonorejo,P,-7.93437,113.05178,11.0,69.08013732927672
4409,Marseille,exact,P,43.29695,5.38107,22.0,24.53772489214125
4410,Taranto,exact,P,40.46438,17.24707,22.0,21.755316366394048
4411,Chiba Prefecture,exact,A,35.60506,140.12333,22.0,16.15411747488248
4412,Mardika,exact,P,-6.68806,107.02972,11.0,55.99779085694431
4413,Netherlands,exact,P,36.29923,-89.75119,3.0,31.68297085571422
4414,Tōhoku,exact,L,39.0,141.0,9.0,70.31861610515948
4415,South Orkney,exact,P,51.62505,-0.38641,3.0,78.22239423533281
4416,Huaihe River,exact,H,35.17393,76.3935,15.0,37.52224017994652
4417,Trinidad,exact,T,10.46114,-61.25702,3.0,26.916491159520074
4418,Bohai Rim,Bohai,P,28.03548,119.79378,9.0,59.12466439047356
4419,Portoferraio,exact,P,42.81233,10.31297,22.0,37.948162983560394
4420,Mediterranean sea,exact,H,35.0,20.0,22.0,71.78085647499321
4421,Sooty Shearwaters,Shearwater,P,-41.15673,146.53178,19.0,38.262013543091314
4422,North-East Atlantic Porbeagle,North East,L,55.29703,-1.7289,3.0,26.80065306173513
