,Citation Count,Citation Count (Corrected by Age)
2325,15,0.6818181818181818
2326,106,4.818181818181818
2327,96,4.363636363636363
2328,14,0.6363636363636364
2329,114,5.181818181818182
2330,34,1.5454545454545454
2331,16,0.7272727272727273
2332,66,3.0
2333,23,1.0454545454545454
2334,39,1.7727272727272727
2335,249,11.318181818181818
2336,1,0.045454545454545456
2337,0,0.0
2338,57,2.590909090909091
2339,65,2.9545454545454546
2340,11,0.5
2341,29,1.3181818181818181
2342,19,0.8636363636363636
2343,406,18.454545454545453
2344,77,3.5
2345,28,1.2727272727272727
2346,8,0.36363636363636365
2347,292,13.272727272727273
2348,11,0.5
2349,12,0.5454545454545454
2350,36,1.565217391304348
2351,32,1.391304347826087
2352,4,0.17391304347826086
2353,122,5.304347826086956
2354,2,0.08695652173913043
2355,37,1.608695652173913
2356,6,0.2608695652173913
2357,12,0.5217391304347826
2358,30,1.3043478260869565
2359,75,3.260869565217391
2360,24,1.0434782608695652
2361,243,10.565217391304348
2362,40,1.7391304347826086
2363,2,0.08695652173913043
2364,20,0.8695652173913043
2365,33,1.434782608695652
2366,297,12.91304347826087
2367,2,0.08695652173913043
2368,3,0.13043478260869565
2369,163,7.086956521739131
2370,80,3.4782608695652173
2371,76,3.3043478260869565
2372,10,0.43478260869565216
2373,46,2.0
2374,96,4.173913043478261
2375,96,4.173913043478261
2376,201,8.73913043478261
2377,9,0.391304347826087
2378,58,2.5217391304347827
2379,15,0.6521739130434783
2380,60,2.608695652173913
2381,3,0.13043478260869565
2382,0,0.0
2383,2,0.08695652173913043
2384,12,0.5217391304347826
2385,29,1.2608695652173914
2386,12,0.5217391304347826
2387,32,1.391304347826087
2388,25,1.0869565217391304
2389,30,1.3043478260869565
2390,29,1.2608695652173914
2391,34,1.4782608695652173
2392,12,0.5217391304347826
2393,146,6.3478260869565215
2394,71,3.0869565217391304
2395,21,0.9130434782608695
2396,0,0.0
2397,56,2.4347826086956523
2398,1,0.043478260869565216
2399,46,2.0
2400,45,1.9565217391304348
2401,116,5.043478260869565
2402,12,0.5217391304347826
2403,26,1.1304347826086956
2404,4,0.17391304347826086
2405,1,0.043478260869565216
2406,0,0.0
2407,15,0.6521739130434783
2408,80,3.4782608695652173
2409,33,1.434782608695652
2410,47,2.0434782608695654
2411,54,2.347826086956522
2412,59,2.5652173913043477
2413,1,0.043478260869565216
2414,101,4.391304347826087
2415,160,6.956521739130435
2416,11,0.4782608695652174
2417,2,0.08695652173913043
2418,6,0.2608695652173913
2419,38,1.6521739130434783
2420,48,2.0869565217391304
2421,27,1.173913043478261
2422,89,3.869565217391304
2423,9,0.391304347826087
2424,13,0.5652173913043478
2425,18,0.782608695652174
2426,23,1.0
2427,20,0.8333333333333334
2428,15,0.625
2429,19,0.7916666666666666
2430,85,3.5416666666666665
2431,29,1.2083333333333333
2432,0,0.0
2433,21,0.875
2434,6,0.25
2435,20,0.8333333333333334
2436,44,1.8333333333333333
2437,213,8.875
2438,96,4.0
2439,220,9.166666666666666
2440,61,2.5416666666666665
2441,94,3.9166666666666665
2442,778,32.416666666666664
2443,16,0.6666666666666666
2444,87,3.625
2445,529,22.041666666666668
2446,41,1.7083333333333333
2447,236,9.833333333333334
2448,87,3.625
2449,3,0.125
2450,9,0.375
2451,81,3.375
2452,53,2.2083333333333335
2453,99,4.125
2454,22,0.9166666666666666
2455,10,0.4166666666666667
2456,6,0.25
2457,11,0.4583333333333333
2458,87,3.625
2459,44,1.8333333333333333
2460,62,2.5833333333333335
2461,13,0.5416666666666666
2462,58,2.4166666666666665
2463,0,0.0
2464,33,1.375
2465,7,0.2916666666666667
2466,26,1.0833333333333333
2467,200,8.333333333333334
2468,18,0.75
2469,200,8.333333333333334
2470,55,2.2916666666666665
2471,9,0.375
2472,20,0.8333333333333334
2473,54,2.25
2474,41,1.7083333333333333
2475,196,8.166666666666666
2476,44,1.8333333333333333
2477,24,1.0
2478,26,1.0833333333333333
2479,1,0.041666666666666664
2480,1,0.041666666666666664
2481,5,0.20833333333333334
2482,10,0.4166666666666667
2483,14,0.5833333333333334
2484,46,1.9166666666666667
2485,17,0.7083333333333334
2486,36,1.5
2487,27,1.125
2488,3,0.125
2489,379,15.791666666666666
2490,122,5.083333333333333
2491,32,1.3333333333333333
2492,32,1.3333333333333333
2493,18,0.75
2494,6,0.25
2495,26,1.0833333333333333
2496,582,24.25
2497,28,1.1666666666666667
2498,3,0.12
2499,36,1.44
2500,56,2.24
2501,18,0.72
2502,5,0.2
2503,217,8.68
2504,35,1.4
2505,82,3.28
2506,170,6.8
2507,53,2.12
2508,174,6.96
2509,86,3.44
2510,27,1.08
2511,81,3.24
2512,4,0.16
2513,18,0.72
2514,21,0.84
2515,86,3.44
2516,5,0.2
2517,27,1.08
2518,62,2.48
2519,2,0.08
2520,28,1.12
2521,145,5.8
2522,6,0.24
2523,11,0.44
2524,11,0.44
2525,1,0.04
2526,13,0.52
2527,39,1.56
2528,8,0.32
2529,14,0.56
2530,12,0.48
2531,20,0.8
2532,10,0.4
2533,29,1.16
2534,19,0.76
2535,24,0.96
2536,36,1.44
2537,240,9.6
2538,140,5.6
2539,24,0.96
2540,72,2.88
2541,16,0.64
2542,5,0.2
2543,106,4.24
2544,13,0.52
2545,16,0.64
2546,4,0.16
2547,10,0.4
2548,12,0.48
2549,17,0.68
2550,17,0.68
2551,14,0.56
2552,91,3.64
2553,81,3.24
2554,78,3.12
2555,60,2.4
2556,3,0.12
2557,2,0.08
2558,65,2.6
2559,34,1.36
2560,14,0.56
2561,46,1.84
2562,117,4.5
2563,24,0.9230769230769231
2564,22,0.8461538461538461
2565,8,0.3076923076923077
2566,16,0.6153846153846154
2567,18,0.6923076923076923
2568,74,2.8461538461538463
2569,48,1.8461538461538463
2570,32,1.2307692307692308
2571,19,0.7307692307692307
2572,72,2.769230769230769
2573,11,0.4230769230769231
2574,13,0.5
2575,9,0.34615384615384615
2576,1,0.038461538461538464
2577,2,0.07692307692307693
2578,10,0.38461538461538464
2579,10,0.38461538461538464
2580,3,0.11538461538461539
2581,8,0.3076923076923077
2582,54,2.076923076923077
2583,20,0.7692307692307693
2584,26,1.0
2585,45,1.7307692307692308
2586,40,1.5384615384615385
2587,202,7.769230769230769
2588,5,0.19230769230769232
2589,61,2.3461538461538463
2590,16,0.6153846153846154
2591,6,0.23076923076923078
2592,6,0.23076923076923078
2593,179,6.884615384615385
2594,13,0.5
2595,16,0.6153846153846154
2596,39,1.5
2597,25,0.9615384615384616
2598,123,4.730769230769231
2599,2,0.07692307692307693
2600,21,0.8076923076923077
